# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	6296
#@/user_id	f9354129-e4a8-46a3-a49d-309797c018cb
a 	啊	c=29 d=2.32019 t=6251
lai de ji 	來得及	c=1 d=1.0995 t=5337
lai de ji ba 	來得及吧	c=1 d=1 t=5480
lai shuo 	來說	c=2 d=1.00089 t=5299
lai sui 	來歲	c=0 d=0.1 t=6223
lai yuan 	來源	c=0 d=0.1 t=2227
lai zhe 	來着	c=2 d=1 t=6289
lai zi 	來自	c=2 d=1 t=2603
lan 	藍	c=1 d=1 t=6056
lan lv 	藍綠	c=1 d=1 t=6018
lan se 	藍色	c=1 d=1 t=2040
lao 	老	c=0 d=0.1 t=1110
lao ban 	老闆	c=16 d=2.33807 t=5628
lao ban men 	老瓣門	c=1 d=1 t=1111
lao ban men 	老闆們	c=1 d=1 t=3349
lao ban shuo 	老闆說	c=1 d=1 t=4470
lao da 	老大	c=0 d=0.1 t=3777
lao de 	老的	c=1 d=1 t=4758
lao di fang 	老地方	c=1 d=1 t=3368
lao lao 	老老	c=0 d=0.1 t=3779
lao lao da 	老老大	c=1 d=1 t=3780
le 	了	c=84 d=5.37382 t=6068
le ba 	了吧	c=3 d=1.07174 t=6183
le bei 	了唄	c=1 d=1 t=3937
le bu 	了不	c=1 d=1 t=2584
le de 	了的	c=0 d=0.1 t=758
le ma 	了嗎	c=2 d=0.188471 t=5160
le mei 	了沒	c=0 d=0.1 t=6251
le ya 	了呀	c=1 d=0.127677 t=1655
le yi xia 	了一下	c=1 d=1 t=5568
lei 	類	c=1 d=1 t=1070
lei chu 	類出	c=1 d=1 t=319
lei si 	類似	c=4 d=1.14542 t=2881
lei xing 	類型	c=16 d=1.84285 t=4892
lei xing de 	類型的	c=1 d=1 t=2015
li 	例	c=2 d=1.00321 t=3291
li 	裏	c=10 d=2.03443 t=5839
li ceng 	裏層	c=0 d=0.1 t=1467
li de 	裏的	c=2 d=1 t=5738
li jie 	理解	c=1 d=0.102988 t=4371
li jie de 	理解的	c=1 d=1 t=3823
li jie yi xia 	理解一下	c=1 d=1 t=3608
li le 	裏了	c=1 d=1 t=5716
li lun 	理論	c=1 d=1 t=5081
li lun shang 	理論上	c=1 d=1 t=284
li mian 	裏面	c=8 d=1.0613 t=6085
li mian de 	裏面的	c=2 d=1.23575 t=460
li mian le 	裏面了	c=1 d=1 t=3782
li qu 	裏去	c=1 d=1 t=5866
li wai 	例外	c=1 d=1 t=6097
li you 	理由	c=2 d=1.99005 t=6111
li zi 	例子	c=2 d=1 t=5926
lian 	練	c=0 d=0.1 t=6294
lian 	連	c=4 d=1.36441 t=6195
lian bu shang 	連不上	c=1 d=1 t=5973
lian de 	練的	c=1 d=1 t=6319
lian dong 	聯動	c=2 d=1.44486 t=484
lian dong guan xi 	聯動關係	c=1 d=1 t=88
lian ge 	連個	c=1 d=1 t=4403
lian jie 	連接	c=2 d=1.93239 t=543
lian jie 	鏈接	c=1 d=1 t=4800
lian jin qu 	連進去	c=1 d=1 t=4961
lian qi lai 	連起來	c=0 d=0.199501 t=3262
lian shang 	連上	c=0 d=0.194176 t=3044
lian shang le 	連上了	c=1 d=1 t=3045
lian shen me 	連什麼	c=2 d=1.99501 t=3259
lian xiang 	聯想	c=1 d=1 t=6035
liang 	兩	c=1 d=1 t=1246
liang 	涼	c=2 d=1.02648 t=2519
liang bu liao 	涼不了	c=2 d=1.88692 t=1754
liang ceng 	兩層	c=1 d=1 t=1986
liang ci 	兩次	c=1 d=0.102658 t=6276
liang ci qian 	兩次錢	c=1 d=1 t=6277
liang fen zhong 	兩分鐘	c=1 d=1 t=66
liang ge 	兩個	c=10 d=1.10007 t=5581
liang ge shi qing 	兩個事情	c=1 d=1 t=5582
liang ge yu ming 	兩個域名	c=1 d=1 t=2470
liang ji 	兩級	c=1 d=1 t=2767
liang le 	涼了	c=0 d=0.137344 t=1959
liang le ya 	涼了呀	c=1 d=1 t=1960
liang lie 	兩列	c=1 d=1 t=5615
liang ping 	兩瓶	c=0 d=0.1 t=6050
liang tian 	兩天	c=2 d=0.100106 t=6162
liang tian ban 	兩天班	c=1 d=1 t=6163
liang xiang 	兩項	c=1 d=1 t=2817
liang zhang 	兩張	c=3 d=1 t=5126
liang zhong 	兩種	c=2 d=1.99501 t=1015
liang zhou 	兩周	c=1 d=1.00395 t=3740
liang zhou zai wen ba 	兩周再問吧	c=1 d=1 t=2955
liang zu 	兩組	c=1 d=1 t=5568
liao de 	聊得	c=1 d=1 t=3957
liao guo 	聊過	c=1 d=1 t=3248
liao le 	聊了	c=1 d=1.00001 t=3882
liao liao 	聊聊	c=0 d=0.1 t=3496
liao liao kan 	聊聊看	c=1 d=1 t=3497
liao liao tian 	聊聊天	c=0 d=0.1 t=6324
liao tian 	聊天	c=1 d=1 t=3549
lie 	列	c=11 d=1.26962 t=5602
lie biao 	列表	c=3 d=1.00002 t=4297
lie chu 	列出	c=2 d=1.00303 t=3560
lie chu lai 	列出來	c=1 d=1 t=5767
lie kuan 	列寬	c=2 d=1.0534 t=4899
lie kuan du 	列寬度	c=1 d=1 t=4370
lie yi xia 	列以下	c=1 d=1 t=2012
lin shi 	臨時	c=2 d=1 t=6043
ling wai 	另外	c=3 d=1.19069 t=2521
ling yi ge 	另一個	c=2 d=1.99501 t=5675
liu cheng 	流程	c=4 d=1.00458 t=3237
liu cheng le 	流程了	c=2 d=1.93707 t=826
liu liang 	流量	c=6 d=3.01039 t=4822
liu liang ka 	流量卡	c=1 d=1 t=4803
liu yi 	留意	c=0 d=0.1 t=2605
liu yi yi xia 	留意一下	c=1 d=1 t=2606
liu zai 	留在	c=1 d=1 t=2183
lou 	樓	c=2 d=1.99501 t=1626
lou diao 	漏掉	c=0 d=0.1 t=775
lu 	錄	c=6 d=2.43339 t=5941
lu bian 	路邊	c=0 d=0.1 t=1647
lu chu lai 	露出來	c=1 d=1 t=5686
lu jing 	路徑	c=1 d=0.848264 t=1971
lu shi pin 	錄視頻	c=2 d=1.956 t=5479
lu shi pin le 	錄視頻了	c=1 d=1 t=4910
lu zi 	路子	c=1 d=0.159013 t=3557
luan 	亂	c=0 d=0.1 t=4869
luan le 	亂了	c=1 d=1 t=2361
luo hou 	落後	c=0 d=0.1 t=6263
luo ji 	邏輯	c=8 d=1.83111 t=5656
lv 	率	c=1 d=1 t=5475
lv 	綠	c=1 d=1 t=6057
lv se 	綠色	c=1 d=1 t=5574
lv se de 	綠色的	c=1 d=1 t=2037
lv suo 	律所	c=3 d=2.67075 t=6220
ma 	嗎	c=27 d=3.044 t=6168
ma 	嘛	c=1 d=1.00028 t=3437
ma 	碼	c=1 d=1 t=3652
ma fan 	麻煩	c=0 d=0.1 t=6112
ma shang 	馬上	c=1 d=1 t=548
mai 	買	c=0 d=0.1 t=4650
mai de 	買的	c=0 d=0.1 t=6120
mai de ma 	買的嗎	c=1 d=1 t=6121
mai ge 	買個	c=1 d=1 t=2164
mai guo 	買過	c=0 d=0.1 t=6123
mai guo shen me 	買過什麼	c=1 d=1 t=6124
mai le 	買了	c=1 d=1 t=6131
mai zhe ge 	買這個	c=1 d=1 t=4651
man qi lai 	慢起來	c=1 d=1 t=4392
man zu 	滿足	c=2 d=1.00199 t=4307
man zu bu liao 	滿足不了	c=1 d=1 t=1103
man zu le 	滿足了	c=1 d=1 t=4119
mang gai 	盲改	c=1 d=1 t=518
mao hao 	冒號	c=1 d=1 t=2940
mei 	沒	c=4 d=0.392642 t=6149
mei ban fa 	沒辦法	c=2 d=1 t=5204
mei bi guo 	沒比過	c=1 d=1 t=6285
mei bi yao 	沒必要	c=2 d=1 t=5671
mei bian 	沒變	c=1 d=1 t=2998
mei bian de 	沒變的	c=1 d=1 t=877
mei ce 	沒測	c=1 d=1 t=4707
mei ci 	每次	c=5 d=1.01641 t=5719
mei cuo 	沒錯	c=2 d=1.956 t=2977
mei dong 	沒動	c=0 d=0.1 t=1155
mei dong guo le 	沒動過了	c=1 d=1 t=1156
mei fa 	沒法	c=5 d=0.144327 t=6113
mei fa fen 	沒法分	c=1 d=1 t=5849
mei fa jian chi 	沒法堅持	c=1 d=1 t=6114
mei fa kan le 	沒法看了	c=1 d=1 t=4765
mei gai 	沒改	c=1 d=1 t=6397
mei gan 	美感	c=1 d=1 t=4242
mei ge 	每個	c=7 d=1.07619 t=5142
mei ge 	沒個	c=2 d=1.86502 t=5141
mei ge wen jian 	每個文件	c=1 d=1 t=428
mei ge yu ming 	每個域名	c=1 d=1 t=1922
mei guan 	美觀	c=2 d=1.00282 t=5155
mei guo 	美國	c=2 d=1.30422 t=4358
mei hang 	每行	c=1 d=1 t=4560
mei ji ge 	沒幾個	c=1 d=1 t=1594
mei jian guo 	沒見過	c=1 d=0.100228 t=5970
mei jian guo de 	沒見過的	c=1 d=1 t=5971
mei jie jue 	沒解決	c=1 d=1 t=6150
mei jin 	沒進	c=0 d=0.1 t=3845
mei jin qu 	沒進去	c=0 d=0.1 t=3324
mei kan 	沒看	c=0 d=0.1 t=2951
mei kan dao 	沒看到	c=1 d=1 t=3222
mei kan dong ma 	沒看懂嗎	c=1 d=1 t=2952
mei kan guo 	沒看過	c=1 d=1 t=1944
mei le 	沒了	c=2 d=1 t=4979
mei lian qi lai 	沒連起來	c=1 d=1 t=3262
mei mei 	妹妹	c=13 d=5.74348 t=6258
mei mei de hua 	妹妹的話	c=1 d=1 t=6240
mei ne 	沒呢	c=1 d=1 t=581
mei pao 	沒跑	c=1 d=1 t=5904
mei pao guo 	沒跑過	c=1 d=1 t=5318
mei qu bie 	沒區別	c=1 d=1 t=6082
mei rang 	沒讓	c=1 d=1 t=3676
mei ren 	沒人	c=1 d=1.00457 t=4361
mei ren yao 	沒人要	c=1 d=1 t=3654
mei ren yong le 	沒人用了	c=1 d=1 t=3745
mei sha 	沒啥	c=0 d=0.188696 t=5835
mei sha ba 	沒啥吧	c=1 d=1 t=5812
mei sha wen ti 	沒啥問題	c=3 d=1 t=4261
mei sha xian zhi 	沒啥限制	c=1 d=1 t=3841
mei sha yong 	沒啥用	c=2 d=0.165006 t=4672
mei sha yong ba 	沒啥用吧	c=1 d=1 t=4673
mei shen me 	沒什麼	c=4 d=1.69527 t=6183
mei shen me le ba 	沒什麼了吧	c=1 d=1 t=6184
mei shi 	沒事	c=9 d=1.74901 t=6404
mei shi er 	沒事兒	c=1 d=1 t=814
mei shi guo 	沒試過	c=1 d=1 t=3299
mei shi jian 	沒時間	c=4 d=1.49788 t=4728
mei shou dao 	沒收到	c=1 d=1 t=4993
mei tian 	每天	c=3 d=2.53565 t=6055
mei wang 	沒網	c=1 d=1 t=5461
mei wen guo 	沒問過	c=1 d=1 t=2167
mei wen ti 	沒問題	c=8 d=1.52475 t=5622
mei wen ti ba 	沒問題吧	c=1 d=1 t=1378
mei xi ting 	沒細聽	c=1 d=1 t=5959
mei xiang dao 	沒想到	c=1 d=1 t=5356
mei xiu hao 	沒修好	c=1 d=1 t=607
mei ye 	每頁	c=1 d=1 t=2429
mei yi ge 	每一個	c=1 d=1 t=5930
mei ying xiang 	沒影響	c=1 d=1 t=662
mei yong 	沒用	c=0 d=0.1 t=5059
mei yong dao 	沒用到	c=2 d=1.956 t=6390
mei yong ya 	沒用呀	c=1 d=1 t=5060
mei you 	沒有	c=26 d=2.33531 t=6090
mei you ba 	沒有吧	c=1 d=1 t=4914
mei you de ba 	沒有的吧	c=1 d=1 t=5174
mei you le ba 	沒有了吧	c=1 d=1 t=906
mei you qu bie 	沒有區別	c=1 d=1 t=425
mei you ren he 	沒有任何	c=1 d=1 t=5103
mei you shen me 	沒有什麼	c=2 d=1.11361 t=3029
mei you wo 	沒有我	c=0 d=0.1 t=4794
mei you xian shi 	沒有顯示	c=1 d=1 t=4515
mei you zhe ge 	沒有這個	c=1 d=1 t=3754
mei yu dao 	沒遇到	c=0 d=0.1 t=3709
mei yu dao guo 	沒遇到過	c=1 d=1 t=3710
mei zai 	沒在	c=1 d=1 t=3205
mei zhao dao 	沒找到	c=1 d=1 t=5307
mei zhu yi 	沒主意	c=1 d=1 t=3816
mei zhun 	沒準	c=2 d=1.00538 t=4001
men 	們	c=2 d=1 t=5905
mi 	米	c=1 d=1 t=6060
mi huo 	迷惑	c=1 d=0.100151 t=5309
mi ji xing 	密集型	c=0 d=0.1 t=3226
mian 	麪	c=1 d=1 t=349
mian bao xie 	麪包屑	c=1 d=1 t=1039
mian fei 	免費	c=2 d=1.96561 t=1266
mian qiang 	勉強	c=1 d=1 t=3661
mian zi 	面子	c=0 d=0.1 t=2197
miao 	瞄	c=0 d=0.1 t=4274
miao 	秒	c=1 d=1 t=4323
miao yi yan 	瞄一眼	c=1 d=1 t=4275
ming 	名	c=1 d=1 t=2059
ming bai 	明白	c=0 d=0.1 t=5442
ming liang de 	明亮的	c=1 d=1 t=5945
ming liao 	明瞭	c=1 d=1 t=457
ming ling 	命令	c=2 d=1.94649 t=5947
ming ling hang 	命令行	c=1 d=1 t=472
ming ming 	命名	c=1 d=1 t=2000
ming ming 	明明	c=2 d=1.00456 t=2883
ming tian 	明天	c=2 d=1 t=5416
ming xian 	明顯	c=6 d=1.94224 t=6088
ming zi 	名字	c=2 d=1 t=4943
mo ming qi miao 	莫名其妙	c=1 d=1 t=6232
mo ren 	默認	c=3 d=1.93239 t=5692
mo shi 	模式	c=5 d=1.01021 t=6008
mo shi xia 	模式下	c=2 d=1 t=4931
mo yu 	摸魚	c=2 d=0.141687 t=6086
mo yu le 	摸魚了	c=1 d=1 t=5912
mou ge 	某個	c=6 d=2.60906 t=5445
mou xie 	某些	c=1 d=1 t=2656
mou yi ge 	某一個	c=0 d=0.1 t=215
mu 	目	c=0 d=0.1 t=1420
mu biao 	目標	c=1 d=1 t=4646
mu qian 	目前	c=9 d=1.11222 t=6143
mu qian de 	目前的	c=1 d=1 t=5332
mu shang gang 	目上綱	c=1 d=1 t=1978
na 	哪	c=1 d=1.00001 t=5707
na 	拿	c=5 d=0.196089 t=6058
na 	那	c=7 d=1.01457 t=6216
na bian 	那邊	c=2 d=1 t=5694
na bu 	那不	c=0 d=0.1 t=1660
na bu hao shuo 	那不好說	c=1 d=1 t=1661
na bu xing 	那不行	c=1 d=1 t=4056
na bu xing le 	哪不行了	c=1 d=1 t=3796
na dao 	拿到	c=2 d=1 t=5681
na dao 	那倒	c=0 d=0.1 t=2496
na dao bu shi 	那倒不是	c=1 d=1 t=2497
na dao le 	拿到了	c=0 d=0.1 t=761
na gang hao 	那剛好	c=1 d=1 t=5559
na ge 	哪個	c=2 d=0.862372 t=5544
na ge 	那個	c=5 d=0.751891 t=5557
na ge shi hou 	那個時候	c=1 d=1 t=2979
na ge zu 	哪個組	c=1 d=1 t=1887
na hou xu 	那後續	c=1 d=1 t=5122
na jie xia lai 	那接下來	c=1 d=1 t=4138
na jiu 	那就	c=5 d=1.00252 t=5417
na jiu shi 	那就是	c=3 d=2.03689 t=6200
na jiu zhe ge 	那就這個	c=1 d=1 t=3525
na kan qi lai 	那看起來	c=2 d=1 t=5965
na ke neng 	那可能	c=1 d=1 t=5817
na ken ding 	那肯定	c=1 d=1 t=1598
na kuai 	那塊	c=1 d=1 t=598
na lai 	哪來	c=0 d=0.1 t=4146
na le 	拿了	c=0 d=0.1 t=3641
na li 	哪裏	c=2 d=0.190276 t=6272
na liang ping 	拿兩瓶	c=2 d=1.98511 t=6054
na me 	那麼	c=2 d=1 t=4569
na me duo 	那麼多	c=1 d=1 t=4684
na ni 	那你	c=0 d=0.1 t=6140
na ni gei 	那你給	c=1 d=1 t=6122
na ni zuo 	那你做	c=1 d=1 t=6141
na nian 	那年	c=1 d=1 t=3912
na que shi 	那確實	c=1 d=1 t=3927
na ru guo shi 	那如果是	c=1 d=1 t=3872
na shang wu 	那上午	c=1 d=1 t=3574
na shen me 	那什麼	c=1 d=1 t=2671
na shi bu shi 	那是不是	c=2 d=1 t=3567
na tian 	哪天	c=2 d=1.79453 t=3325
na tian 	那天	c=2 d=1.99005 t=5486
na tiao 	那條	c=0 d=0.1 t=4896
na tiao ji lu 	那條記錄	c=1 d=1 t=4897
na wo 	拿我	c=2 d=1 t=3394
na wo 	那我	c=2 d=1.00632 t=5465
na wo ba 	那我把	c=1 d=1 t=3532
na wo gai 	那我該	c=1 d=1 t=3587
na wo jiu 	那我就	c=1 d=1 t=537
na wo kan 	那我看	c=1 d=0.100001 t=3280
na wo kan kan 	那我看看	c=1 d=1 t=3281
na wo li jie 	那我理解	c=1 d=1 t=3717
na wo men 	那我們	c=2 d=1 t=5197
na wo yong 	那我用	c=1 d=1 t=3764
na wo zhe bian 	那我這邊	c=1 d=1 t=4433
na xia qu 	拿下去	c=0 d=0.1 t=3685
na xia qu le 	拿下去了	c=1 d=1 t=3686
na xian zai 	那現在	c=1 d=1 t=4131
na xian zhe yang ba 	那先這樣吧	c=1 d=1 t=2414
na xie 	哪些	c=4 d=1 t=6052
na xie 	那些	c=1 d=1 t=1238
na xie di fang 	哪些地方	c=1 d=1 t=10
na xie ren 	哪些人	c=1 d=1 t=4101
na yang de 	那樣的	c=1 d=1 t=747
na ye yao 	那也要	c=1 d=1 t=5220
na yi 	那一	c=0 d=0.1 t=2828
na yi hang 	那一行	c=1 d=1 t=2114
na yi jing 	那已經	c=1 d=1 t=5409
na yi xiang 	那一項	c=1 d=1 t=2829
na ying gai 	那應該	c=1 d=1 t=4990
na ying gai shi 	那應該是	c=1 d=1 t=3758
na zen me 	那怎麼	c=1 d=1 t=4828
na zhang 	哪張	c=1 d=1 t=5111
na zhe 	那這	c=1 d=1 t=6130
na zhe ge 	那這個	c=1 d=1 t=5276
na zhe tiao lu zi 	那這條路子	c=1 d=1 t=3558
na zhe xie 	那這些	c=1 d=1 t=3711
na zhi neng 	那只能	c=1 d=1 t=1298
na zhong 	那種	c=1 d=1 t=4933
na zhou 	那周	c=1 d=1 t=5478
na zui hao le 	那最好了	c=1 d=1 t=5039
nan dao shi 	難道是	c=1 d=1 t=4123
nan du 	難度	c=1 d=0.286374 t=6222
nan du bu da 	難度不大	c=1 d=1 t=6223
nan gao 	難搞	c=0 d=0.1 t=4901
nan xue sheng 	男學生	c=1 d=1 t=2053
ne 	呢	c=5 d=0.503277 t=6154
nei 	內	c=6 d=2.17312 t=5725
nei bu 	內部	c=1 d=1 t=1207
nei ceng 	內層	c=2 d=1.97045 t=2809
nei cun 	內存	c=0 d=0.1 t=299
nei cun tiao 	內存條	c=0 d=0.1 t=301
nei cun tiao ma 	內存條嗎	c=1 d=1 t=302
nei lian 	內聯	c=2 d=1 t=5642
nei rong 	內容	c=16 d=1.06041 t=6365
nei rong ba 	內容吧	c=1 d=1 t=701
neng 	能	c=9 d=1.06537 t=6136
neng bang mang 	能幫忙	c=1 d=0.247342 t=4435
neng bang mang kan xia 	能幫忙看下	c=1 d=1 t=4436
neng bu neng 	能不能	c=11 d=1.6154 t=5821
neng cha le 	能查了	c=1 d=1 t=4035
neng fen 	能分	c=1 d=1 t=5868
neng fou 	能否	c=3 d=1.99398 t=1413
neng kan dao 	能看到	c=1 d=1 t=4002
neng kan dong a 	能看懂啊	c=1 d=1 t=3373
neng lian shang le 	能連上了	c=1 d=1 t=3033
neng pi 	能批	c=1 d=1 t=4102
neng qu fen 	能區分	c=1 d=1 t=6092
neng xiu fu 	能修復	c=1 d=1 t=2350
neng yong 	能用	c=0 d=0.1 t=4246
neng yong jiu xing 	能用就行	c=1 d=1 t=4247
neng zai 	能在	c=1 d=1 t=5988
neng zuo dao 	能做到	c=1 d=1 t=1926
ni 	你	c=4 d=0.108685 t=6154
ni ba 	你把	c=1 d=1 t=5687
ni bang wo kan kan 	你幫我看看	c=1 d=1 t=3611
ni bu shi 	你不是	c=1 d=1 t=4980
ni dao di 	你到底	c=1 d=1 t=6248
ni de 	你的	c=1 d=1 t=6146
ni de 	逆的	c=1 d=1 t=4632
ni dei 	你得	c=1 d=1 t=5374
ni fa 	你發	c=0 d=0.1 t=2198
ni fa wo de 	你發我的	c=1 d=1 t=2199
ni gao 	你搞	c=0 d=0.1 t=4075
ni gao ding le ma 	你搞定了嗎	c=1 d=1 t=4076
ni gei 	你給	c=1 d=1 t=6119
ni gei ta 	你給他	c=1 d=1 t=5776
ni gen 	你跟	c=0 d=0.1 t=3955
ni gen ta 	你跟她	c=1 d=1 t=3956
ni gen wo shuo 	你跟我說	c=1 d=1 t=5059
ni hai 	你還	c=0 d=0.1 t=4772
ni hai xu yao 	你還需要	c=1 d=1 t=4773
ni ji shen me 	你急什麼	c=1 d=1 t=2475
ni jia jin qu de 	你加進去的	c=1 d=1 t=5812
ni kan 	你看	c=0 d=0.1 t=4027
ni kan kan 	你看看	c=2 d=1 t=4020
ni kan ren ming 	你看人名	c=1 d=1 t=4028
ni ke 	你可	c=0 d=0.1 t=2707
ni ke neng 	你可能	c=1 d=1 t=2708
ni ke neng bu xin 	你可能不信	c=1 d=1 t=4024
ni ke yi 	你可以	c=2 d=1.0995 t=5387
ni ke yi shi shi 	你可以試試	c=1 d=1 t=5704
ni le 	你了	c=0 d=0.1 t=3224
ni lian 	你連	c=0 d=0.1 t=4964
ni lian le 	你連了	c=1 d=1 t=4965
ni mei 	你沒	c=0 d=0.1 t=4371
ni mei li jie 	你沒理解	c=1 d=1 t=4372
ni mei mei ne 	你妹妹呢	c=1 d=1 t=6155
ni men 	你們	c=5 d=1.00272 t=4611
ni men shi 	你們是	c=1 d=1 t=4618
ni na bian 	你那邊	c=1 d=1 t=1560
ni na li 	你那裏	c=0 d=0.1 t=4061
ni neng 	你能	c=2 d=1 t=5030
ni qu 	你去	c=0 d=0.1 t=6235
ni qu gan ma 	你去幹嘛	c=1 d=1 t=6236
ni rang ta 	你讓他	c=1 d=1 t=4785
ni shen me shi hou 	你什麼時候	c=1 d=1 t=1868
ni shen qing 	你申請	c=1 d=1 t=5183
ni shi 	你是	c=3 d=1.04665 t=5036
ni shi bu shi 	你是不是	c=1 d=1 t=4689
ni shi shi 	你試試	c=1 d=1 t=4747
ni shi shi bei 	你試試唄	c=1 d=1 t=3820
ni shi shuo 	你是說	c=2 d=1 t=5906
ni shuo 	你說	c=3 d=1.05369 t=5541
ni shuo de 	你說的	c=1 d=1 t=3749
ni suan suan 	你算算	c=1 d=1 t=3877
ni sui ran 	你雖然	c=1 d=1 t=871
ni tian 	逆天	c=0 d=0.1 t=6369
ni wen wen 	你問問	c=1 d=1 t=960
ni xian 	你先	c=2 d=1 t=4348
ni xiang 	你想	c=0 d=0.1 t=2264
ni xiang ma 	你想嘛	c=1 d=1 t=2265
ni xiang rang 	你想讓	c=1 d=1 t=4273
ni xie 	你寫	c=1 d=1 t=5768
ni xu yao 	你需要	c=2 d=1.17204 t=4856
ni xue le mei 	你學了沒	c=1 d=1 t=5428
ni yao 	你要	c=2 d=0.100894 t=5370
ni yao bu 	你要不	c=1 d=1 t=5468
ni yao zhe me shuo 	你要這麼說	c=1 d=1 t=5371
ni ye 	你也	c=1 d=1 t=5989
ni yi jing 	你已經	c=1 d=1 t=4037
ni ying gai shi 	你應該是	c=1 d=1 t=4011
ni you 	你有	c=0 d=0.1 t=1946
ni you zhe ge 	你有這個	c=1 d=1 t=1947
ni zai 	你再	c=1 d=1 t=590
ni zen me 	你怎麼	c=1 d=1 t=5534
ni zhe 	你這	c=1 d=1 t=5828
ni zhe 	逆着	c=1 d=1 t=5827
ni zhe ge 	你這個	c=3 d=1.18177 t=6092
ni zhi dao 	你知道	c=1 d=1 t=5393
ni zhi yao 	你只要	c=1 d=1 t=2151
ni zhuan fa 	你轉發	c=1 d=1 t=4012
nian 	年	c=2 d=1.64726 t=4528
nian chu 	年初	c=1 d=1 t=2963
nian de 	年的	c=1 d=1 t=1332
nian ling 	年齡	c=1 d=0.100007 t=6264
niu bi 	牛逼	c=1 d=1 t=3928
nong 	弄	c=0 d=0.1 t=5394
nong de ma 	弄的嗎	c=1 d=1 t=5395
nong guo 	弄過	c=0 d=0.1 t=5170
nv lao shi 	女老師	c=2 d=1.96079 t=2063
o 	哦	c=13 d=1.4282 t=6039
o 	噢	c=3 d=2.77896 t=4066
o dui 	哦對	c=1 d=1 t=3331
ou 	偶	c=1 d=1 t=5235
ou zhou 	歐洲	c=1 d=1 t=6035
pa 	怕	c=0 d=0.1 t=6114
pa xiao guo 	怕效果	c=1 d=1 t=6115
pai 	排	c=1 d=1 t=5690
pai ban 	排版	c=1 d=1 t=2632
pai chu 	排出	c=1 d=1 t=1962
pai de 	排的	c=2 d=1.98511 t=4620
pai lie 	排列	c=1 d=1 t=1286
pai xu 	排序	c=5 d=1 t=5714
pan duan 	判斷	c=2 d=1 t=6025
pang zi 	胖子	c=1 d=1 t=6267
pao 	跑	c=1 d=0.100189 t=4950
pao bu ji 	跑步機	c=2 d=1.81873 t=3228
pao de 	跑得	c=1 d=1 t=4997
pao ge 	袍哥	c=1 d=1 t=3187
pao ge 	跑個	c=1 d=1 t=3189
pao guo 	跑過	c=0 d=0.1 t=5317
pao le 	跑了	c=1 d=1 t=584
pao qi lai 	跑起來	c=1 d=1.09608 t=5919
pao qi lai ma 	跑起來嗎	c=1 d=1 t=5912
pao yi bian 	跑一遍	c=1 d=1 t=3697
pao yi xia 	跑一下	c=1 d=1 t=4951
pei dai 	佩戴	c=0 d=0.1 t=6062
pei dui 	配對	c=2 d=1.9802 t=6089
pei zhi 	配制	c=1 d=1 t=542
pi 	批	c=6 d=0.21487 t=4900
pi ge 	批個	c=2 d=1.00002 t=6067
pi le 	批了	c=1 d=1 t=4803
pi liang 	批量	c=0 d=0.1 t=6399
pi liang shu ju 	批量數據	c=1 d=1 t=6400
pi ma 	批嗎	c=1 d=1 t=5031
pi wo de 	批我的	c=1 d=1 t=4059
pi yi xia 	批一下	c=3 d=1.03153 t=6066
pian 	偏	c=1 d=1 t=4777
pian xiao 	偏小	c=1 d=0.993912 t=3635
pian xiao de 	偏小的	c=1 d=1 t=3618
pian yi 	偏移	c=0 d=0.1 t=2303
pian yi le 	偏移了	c=1 d=1 t=2304
piao 	票	c=0 d=0.1 t=3868
piao zai che shang 	票在車上	c=1 d=1 t=3869
ping mu 	屏幕	c=3 d=0.109902 t=5868
ping tai 	平台	c=0 d=0.1 t=429
ping tai shang 	平台上	c=1 d=1 t=430
po 	破	c=0 d=0.1 t=3712
po gong neng 	破功能	c=1 d=1 t=3713
pu 	噗	c=2 d=1.00011 t=5840
qi 	其	c=1 d=1 t=3810
qi 	器	c=0 d=0.1 t=6053
qi bu shi 	豈不是	c=1 d=1 t=5143
qi dai 	期待	c=1 d=1 t=4146
qi de 	起的	c=1 d=1 t=559
qi dong 	啓動	c=2 d=1 t=5676
qi dong 	起動	c=1 d=1 t=2407
qi guai 	奇怪	c=4 d=1.00078 t=5453
qi guai de 	奇怪的	c=0 d=0.1 t=2302
qi jian 	期間	c=2 d=1 t=3706
qi lai 	起來	c=1 d=1 t=2443
qi li 	氣力	c=1 d=1 t=6299
qi shi 	其實	c=14 d=2.66424 t=6230
qi shi hai xing le 	其實還行了	c=1 d=1 t=6213
qi shi you 	其實有	c=1 d=1 t=3335
qi ta 	其他	c=12 d=2.2101 t=6089
qi ta de 	其他的	c=2 d=1.85214 t=3978
qi ta dou hao 	其他都好	c=1 d=1 t=6312
qi ta hui 	其他會	c=1 d=1 t=5908
qi ta liang xiang 	其他兩項	c=1 d=1 t=84
qi ta wen ti 	其它問題	c=1 d=1 t=1381
qi ta zi yuan 	其他資源	c=1 d=1 t=2162
qi ye 	企業	c=3 d=2.79643 t=1206
qi ye ban 	企業版	c=1 d=1 t=1225
qi yi 	歧義	c=1 d=1 t=257
qi yong 	啓用	c=1 d=1 t=1536
qi yong 	棄用	c=2 d=1.94649 t=1550
